"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\animations\dust_animation_component.dart", "Dart", 127, 9, 22, 158
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\animations\reward_overlay.dart", "Dart", 1135, 41, 144, 1320
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\animations\reward_overlay_controller.dart", "Dart", 63, 2, 12, 77
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\animations\rupee_coin_widget.dart", "Dart", 118, 8, 22, 148
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_enemy_state.dart", "Dart", 30, 2, 6, 38
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_exit_button.dart", "Dart", 157, 10, 15, 182
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_level_config.dart", "Dart", 11, 7, 5, 23
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_level_model.dart", "Dart", 17, 1, 4, 22
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_level_service.dart", "Dart", 50, 6, 15, 71
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_map_loader.dart", "Dart", 40, 21, 8, 69
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_popup.dart", "Dart", 191, 8, 17, 216
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\beat_timer_controller.dart", "Dart", 83, 14, 18, 115
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\beat_timer_display.dart", "Dart", 391, 13, 36, 440
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\effects\beat_hud.dart", "Dart", 113, 4, 5, 122
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\effects\beat_timer_effects.dart", "Dart", 179, 12, 19, 210
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\effects\beat_timer_models.dart", "Dart", 64, 3, 6, 73
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_timer\effects\beat_timer_painters.dart", "Dart", 166, 12, 22, 200
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\beat\beat_world_session.dart", "Dart", 34, 7, 10, 51
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\board\board_loader.dart", "Dart", 96, 1, 13, 110
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\board\board_model.dart", "Dart", 34, 1, 5, 40
"c:\Users\nxt2b\Documents\IT_Anwendungsentwicklung\Coding_Projects\MajorFolder_FlutterCoding\chessrpg\lib\board\board_state.dart", "Dart", 264, 6, 51, 321
